NOC,Description,NOC_Description,Industry,Variable,Geographic Area,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Demand,South East,486,468,472,477,483,486,490,494,499,505,511
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Supply,British Columbia,6971,7029,7181,7350,7533,7677,7827,7965,8088,8207,8324
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Supply,Mainland South West,5476,5548,5687,5841,6000,6130,6260,6378,6477,6573,6664
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Supply,Vancouver Island Coast,947,945,958,971,989,1001,1016,1032,1048,1066,1085
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Supply,North,64,66,66,66,66,66,66,66,66,66,66
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Supply,South East,484,471,470,473,478,480,484,490,496,502,508
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Supply less Demand,British Columbia,77,60,64,87,114,126,115,100,83,60,38
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Supply less Demand,Mainland South West,66,53,69,95,127,142,130,112,94,71,49
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Supply less Demand,Vancouver Island Coast,13,4,-3,-4,-8,-9,-9,-8,-8,-8,-8
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Supply less Demand,North,0,1,1,0,0,0,0,0,0,0,0
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Supply less Demand,South East,-2,2,-2,-5,-5,-6,-5,-4,-3,-3,-3
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Demand,British Columbia,3398,3439,3459,3500,3529,3560,3594,3631,3675,3723,3775
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Demand,Mainland South West,2331,2356,2368,2396,2416,2437,2461,2485,2514,2546,2582
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Demand,Vancouver Island Coast,609,619,623,631,638,645,653,663,674,686,699
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Demand,North,165,169,171,172,173,173,173,173,173,173,174
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Demand,South East,293,296,297,300,302,305,307,310,314,317,321
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Supply,British Columbia,3416,3465,3493,3539,3580,3612,3643,3673,3709,3747,3790
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Supply,Mainland South West,2343,2378,2403,2441,2474,2500,2519,2535,2555,2577,2603
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Supply,Vancouver Island Coast,612,620,622,629,634,640,648,658,669,681,693
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Supply,North,165,171,172,172,173,172,172,173,173,173,174
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Labour Force Supply,South East,296,297,296,297,299,301,304,307,312,315,319
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Supply less Demand,British Columbia,18,26,34,39,51,53,49,42,33,24,14
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Supply less Demand,Mainland South West,12,22,35,44,58,62,58,50,40,30,21
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Supply less Demand,Vancouver Island Coast,4,1,-1,-2,-4,-5,-5,-5,-5,-5,-5
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Supply less Demand,North,0,2,1,0,-1,-1,-1,0,0,0,1
#0014,"Senior managers - health, education, social and community services and membership organizations	","#0014Senior managers - health, education, social and community services and membership organizations	",All Industries,Supply less Demand,South East,3,0,-1,-3,-3,-4,-3,-3,-2,-2,-2
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Demand,British Columbia,5752,5732,5790,5882,5980,6066,6166,6262,6347,6431,6514
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Demand,Mainland South West,4514,4457,4492,4568,4649,4724,4811,4895,4968,5036,5102
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Demand,Vancouver Island Coast,548,561,570,575,583,589,596,602,609,616,624
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Demand,North,124,130,131,132,133,132,132,132,131,131,131
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Demand,South East,566,584,597,607,615,621,628,633,639,648,657
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Supply,British Columbia,5792,5792,5852,5955,6073,6168,6260,6344,6416,6483,6548
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Supply,Mainland South West,4543,4515,4559,4649,4753,4839,4917,4987,5045,5095,5144
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Supply,Vancouver Island Coast,556,562,568,573,579,584,591,598,605,612,620
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Supply,North,125,132,132,132,132,131,131,131,131,131,132
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Labour Force Supply,South East,568,584,593,601,608,613,620,627,635,644,653
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Supply less Demand,British Columbia,40,60,62,73,94,102,94,82,69,51,34
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Supply less Demand,Mainland South West,28,58,67,81,105,115,106,92,77,59,41
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Supply less Demand,Vancouver Island Coast,8,1,-2,-2,-4,-5,-5,-4,-4,-4,-4
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Supply less Demand,North,1,1,1,0,0,-1,-1,0,0,0,0
#0015,"Senior managers - trade, broadcasting and other services, n.e.c.					","#0015Senior managers - trade, broadcasting and other services, n.e.c.					",All Industries,Supply less Demand,South East,2,-1,-4,-7,-7,-7,-7,-6,-4,-4,-4
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Demand,British Columbia,6945,7094,7152,7185,7205,7300,7347,7396,7412,7467,7466
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Demand,Mainland South West,5427,5546,5586,5607,5616,5691,5731,5766,5771,5814,5811
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Demand,Vancouver Island Coast,583,604,614,616,620,625,627,632,638,644,646
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Demand,North,104,104,107,112,115,117,119,120,120,119,117
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Demand,South East,830,840,846,851,853,866,871,878,882,890,893
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Supply,British Columbia,6997,7141,7227,7286,7334,7426,7470,7503,7506,7534,7520
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Supply,Mainland South West,5478,5592,5666,5717,5758,5834,5868,5885,5874,5890,5871
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Supply,Vancouver Island Coast,590,604,612,615,617,620,622,629,634,640,642
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Supply,North,103,106,108,111,114,116,118,120,120,119,117
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Labour Force Supply,South East,826,840,842,843,845,855,862,870,877,885,889
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Supply less Demand,British Columbia,52,47,74,101,129,126,123,108,94,67,53
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Supply less Demand,Mainland South West,50,46,80,111,142,143,137,120,103,76,60
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Supply less Demand,Vancouver Island Coast,7,0,-2,-1,-3,-5,-4,-4,-4,-4,-3
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Supply less Demand,North,-1,1,1,0,-1,-1,-1,0,0,0,1
#0016,"Senior managers - construction, transportation, production and utilities				","#0016Senior managers - construction, transportation, production and utilities				",All Industries,Supply less Demand,South East,-5,0,-4,-8,-8,-11,-10,-8,-5,-5,-4
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Demand,British Columbia,8571,8661,8757,8866,8971,9079,9198,9314,9414,9528,9626
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Demand,Mainland South West,6688,6756,6833,6925,7012,7105,7209,7307,7387,7477,7552
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Demand,Vancouver Island Coast,1104,1124,1134,1142,1154,1163,1172,1184,1197,1212,1225
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Demand,North,141,143,144,146,147,146,147,147,148,148,149
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Demand,South East,638,639,646,654,659,664,670,676,683,691,700
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Supply,British Columbia,8662,8736,8848,8983,9121,9238,9345,9442,9521,9606,9680
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Supply,Mainland South West,6771,6826,6928,7051,7175,7282,7373,7449,7506,7567,7617
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Supply,Vancouver Island Coast,1113,1126,1132,1139,1147,1154,1164,1176,1189,1204,1218
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Supply,North,142,145,145,146,146,146,146,147,148,148,149
#0111,"Financial managers										","#0111Financial managers										",All Industries,Labour Force Supply,South East,636,640,643,647,652,656,662,670,679,687,696
#0111,"Financial managers										","#0111Financial managers										",All Industries,Supply less Demand,British Columbia,91,76,91,116,150,159,147,128,107,78,54
#0111,"Financial managers										","#0111Financial managers										",All Industries,Supply less Demand,Mainland South West,83,71,96,126,164,176,164,142,119,90,65
#0111,"Financial managers										","#0111Financial managers										",All Industries,Supply less Demand,Vancouver Island Coast,9,2,-2,-3,-7,-9,-9,-8,-8,-8,-8
#0111,"Financial managers										","#0111Financial managers										",All Industries,Supply less Demand,North,2,2,1,0,0,-1,-1,0,0,0,0
#0111,"Financial managers										","#0111Financial managers										",All Industries,Supply less Demand,South East,-2,1,-4,-7,-7,-8,-7,-6,-4,-4,-4
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Demand,British Columbia,5433,5485,5554,5631,5701,5771,5847,5923,5994,6073,6146
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Demand,Mainland South West,4205,4257,4317,4383,4441,4501,4567,4630,4687,4749,4806
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Demand,Vancouver Island Coast,774,787,798,806,816,824,833,843,856,869,882
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Demand,North,80,78,77,78,77,77,77,78,78,78,78
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Demand,South East,374,363,363,365,366,368,370,372,374,378,381
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Supply,British Columbia,5478,5531,5610,5703,5795,5871,5940,6004,6060,6121,6178
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Supply,Mainland South West,4245,4298,4375,4461,4544,4613,4671,4720,4761,4805,4846
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Supply,Vancouver Island Coast,782,789,796,804,811,817,826,838,850,863,876
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Supply,North,80,79,78,78,77,77,77,77,78,78,78
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Labour Force Supply,South East,371,365,361,361,362,364,366,369,372,376,379
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Supply less Demand,British Columbia,45,46,56,72,94,100,93,81,66,48,32
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Supply less Demand,Mainland South West,40,41,58,78,103,112,104,90,75,56,40
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Supply less Demand,Vancouver Island Coast,8,2,-2,-3,-5,-7,-7,-6,-6,-6,-6
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Supply less Demand,North,0,1,1,0,0,0,0,0,0,0,0
#0112,"Human resources managers										","#0112Human resources managers										",All Industries,Supply less Demand,South East,-3,1,-1,-3,-4,-4,-4,-3,-2,-2,-2
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Demand,British Columbia,1474,1468,1476,1491,1507,1523,1543,1563,1581,1598,1613
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Demand,Mainland South West,1264,1261,1268,1283,1298,1315,1335,1355,1371,1387,1401
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Demand,Vancouver Island Coast,154,152,151,150,150,150,149,149,149,150,151
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Demand,North,39,37,38,39,39,39,39,39,40,40,41
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Demand,South East,17,19,19,19,20,20,20,20,20,21,21
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Supply,British Columbia,1483,1484,1496,1515,1537,1555,1572,1588,1602,1614,1624
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Supply,Mainland South West,1272,1275,1287,1307,1329,1348,1366,1381,1393,1404,1413
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Supply,Vancouver Island Coast,155,153,151,150,150,149,149,148,149,149,150
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Supply,North,39,38,38,39,39,39,39,39,40,40,41
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Labour Force Supply,South East,17,18,19,19,19,19,20,20,20,20,20
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Supply less Demand,British Columbia,9,16,19,24,30,31,29,25,21,16,11
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Supply less Demand,Mainland South West,8,14,19,24,30,33,30,26,22,17,12
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Supply less Demand,Vancouver Island Coast,1,1,0,0,-1,-1,-1,-1,-1,-1,-1
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Supply less Demand,North,0,1,0,0,0,0,0,0,0,0,0
#0113,"Purchasing managers										","#0113Purchasing managers										",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Demand,British Columbia,3597,3635,3675,3722,3766,3808,3855,3903,3949,4000,4051
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Demand,Mainland South West,2898,2926,2958,2998,3037,3073,3115,3156,3194,3236,3277
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Demand,Vancouver Island Coast,486,496,502,507,511,514,517,522,527,534,540
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Demand,North,28,28,27,28,28,28,28,28,28,29,29
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Demand,South East,184,185,187,189,191,193,195,197,199,202,205
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Supply,British Columbia,3621,3665,3714,3773,3832,3878,3921,3959,3996,4034,4073
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Supply,Mainland South West,2916,2954,2999,3053,3107,3150,3187,3218,3245,3275,3304
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Supply,Vancouver Island Coast,492,497,501,506,508,510,514,518,524,530,537
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Supply,North,29,28,28,28,28,28,28,28,28,29,29
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Labour Force Supply,South East,185,185,186,187,189,190,192,195,198,201,203
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Supply less Demand,British Columbia,24,30,39,51,66,71,65,57,46,34,22
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Supply less Demand,Mainland South West,17,28,41,54,71,77,71,62,51,38,27
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Supply less Demand,Vancouver Island Coast,6,1,-1,-2,-3,-4,-4,-3,-3,-3,-3
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#0114,"Other administrative services managers								","#0114Other administrative services managers								",All Industries,Supply less Demand,South East,1,0,-1,-2,-2,-2,-2,-2,-1,-1,-1
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Demand,British Columbia,14050,14461,14759,14970,15175,15344,15557,15751,15918,16091,16255
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Demand,Mainland South West,9836,10246,10505,10689,10855,11001,11187,11353,11486,11619,11742
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Demand,Vancouver Island Coast,2149,2163,2174,2179,2202,2217,2232,2249,2270,2293,2317
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Demand,North,541,532,534,538,541,539,539,540,540,541,542
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Demand,South East,1524,1521,1546,1564,1579,1587,1599,1609,1621,1638,1654
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Supply,British Columbia,14369,14567,14874,15135,15392,15578,15771,15940,16077,16209,16334
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Supply,Mainland South West,10172,10338,10628,10874,11102,11273,11437,11570,11669,11760,11842
